20251026000004390353,204.85.200.9,NOOP,NOOP,NOOP,0,NOOP
20251026000008011878,45.178.133.252,TRANSFER,GB29HFJX00857577321771,GB91QVIJ43957541041551,760.2,Shelly Hansen
20251026000008171035,144.24.14.97,DEPOSIT,GB07PSKJ96692590660871,NULL,783.09,Jill Terry
20251026000013145157,54.30.12.67,BALANCE,GB81QDDN16743932616710,NULL,0,Bill Schroeder
20251026000017087744,67.189.65.31,TRANSFER,GB60JDVI83789045556146,GB78BFXO46050288916865,148.54,Cynthia Lewis
20251026000021264688,133.215.6.245,NULL,NULL,NULL,0,NULL
20251026000022979929,194.176.185.114,DEPOSIT,GB04UGKR34430505582096,NULL,140.07,Alexis Brown
20251026000022428562,90.70.91.126,TRANSFER,GB76QSRA55001130376590,GB14YKTB75723207140607,63.16,Julie Nelson
20251026000026541723,207.115.128.63,SCHEDULE,GB11AYUN80000691180542,GB93OXRU48454041415626,474.61,Steven Williams
20251026000026887323,79.232.175.234,TRANSFER,GB32FIOC40197372625503,GB36KAGJ47089200471782,365.82,David Johnston
20251026000026941722,28.242.58.89,BALANCE,GB60UBVC80073435864489,NULL,0,Tommy Boyle Jr.
20251026000027895181,110.109.45.243,DEPOSIT,GB45RKYJ30541082479014,NULL,288.68,Megan Welch
20251026000028525173,112.73.64.173,WITHDRAWAL,GB02BVAM67078624363582,NULL,-572.55,Katie Bailey
20251026000029715052,41.248.27.81,NULL,NULL,NULL,0,NULL
20251026000034881956,51.125.203.154,SCHEDULE,GB28HBOX29821788818663,GB14DLER28346993030737,298.02,Carrie Jackson
20251026000035844558,159.113.23.211,NULL,NULL,NULL,0,NULL
20251026000035481482,26.167.149.188,TRANSFER,GB21UVFR21801720320981,GB33XUEC13112746634743,353.81,Troy Pierce
20251026000039330557,197.96.187.42,SCHEDULE,GB39LCLP52681780291639,GB97DNLI51288472632399,613.94,Paula Russell
20251026000044346768,3.236.199.235,SCHEDULE,GB62PNYL84751589760405,GB06BPJG24859824945682,114.06,Jeffrey Williams
20251026000045774165,88.253.224.26,SCHEDULE,GB25YFBX77710496220449,GB64IXIW41594886992862,199.3,Christopher Lee
20251026000046232041,192.50.223.236,BALANCE,GB07NULX48407102964079,NULL,0,Holly Lewis
20251026000047301402,130.58.234.135,NULL,NULL,NULL,0,NULL
20251026000049148263,65.110.132.142,BALANCE,GB16HWIA85947894333646,NULL,0,Sara Thomas
20251026000052018051,159.241.245.74,NOOP,NOOP,NOOP,0,NOOP
20251026000053064316,220.192.190.86,NULL,NULL,NULL,0,NULL
20251026000057684784,85.196.33.82,TRANSFER,GB75MGDK52767659422131,GB35GCUT35162480272603,195.66,Nathan Ward
20251026000059000731,218.49.213.171,BALANCE,GB74MMTH13256163638768,NULL,0,Ann Alvarez
20251026000101161996,169.165.96.136,DEPOSIT,GB33OYCG58524614711793,NULL,454.56,Daniel James
20251026000105914014,56.220.4.139,BALANCE,GB73NMPN02783967536614,NULL,0,Shirley Cook
20251026000109844318,58.217.166.196,NULL,NULL,NULL,0,NULL
20251026000109485817,182.250.81.150,NOOP,NOOP,NOOP,0,NOOP
20251026000113745628,223.195.238.59,BALANCE,GB43NWDQ47144409302895,NULL,0,Sonia Roberts
20251026000118915283,111.221.43.33,SCHEDULE,GB68RBQA80768164743519,GB43VELY29338715897710,770.49,Dominic Peters
20251026000119617054,194.97.64.196,DEPOSIT,GB32BVPZ34559838448223,NULL,535.8,Evan Evans
20251026000120195632,197.178.145.84,DEPOSIT,GB19PKCA90248643554085,NULL,343.23,Richard Miller
20251026000120053204,128.229.5.191,TRANSFER,GB17JFSF40168047582625,GB02KEPS49900256477804,293.26,Bradley Rivera
20251026000122094927,219.240.71.230,NULL,NULL,NULL,0,NULL
20251026000127199848,123.82.240.169,SCHEDULE,GB36NFMF81610375298409,GB88STEZ64398380224166,916.29,Jennifer Hodges
