20251024000002089139,214.36.115.35,TRANSFER,GB39NEMM44600120686224,GB92JTJK62096688669608,286.77,Susan Parks
20251024000004563674,222.57.164.149,SCHEDULE,GB51GIIJ55418769086477,GB90LFFO16849914345623,722.58,Kayla Hooper
20251024000005694766,185.5.84.197,DEPOSIT,GB78MFJO13616782831387,NULL,612.33,Caleb Wright
20251024000009579475,209.51.99.180,BALANCE,GB44MGLK31862021866464,NULL,0,Rose Schaefer
20251024000013101183,79.10.68.56,NULL,NULL,NULL,0,NULL
20251024000014536488,23.182.54.19,WITHDRAWAL,GB41ANJE07205605090350,NULL,-573.66,Kayla Lester
20251024000016964012,158.202.132.15,WITHDRAWAL,GB93UROQ77346181865515,NULL,-220.97,Jessica Holmes
20251024000016914170,163.154.237.153,SCHEDULE,GB41AWTO10832786334905,GB91UBRK80632175826258,757.49,Lori Willis
20251024000016371029,163.243.166.236,TRANSFER,GB65ZOCU99843466724942,GB74ZYVD82134489470043,156.49,Leonard Morton
20251024000017201866,11.48.1.214,BALANCE,GB17NCJR34228320201222,NULL,0,Whitney Davis
20251024000020770226,130.190.125.172,WITHDRAWAL,GB47EWOM16869975427394,NULL,-975.65,Troy Powell
20251024000021045957,202.115.167.230,WITHDRAWAL,GB77HODA52286551489369,NULL,-563.36,Valerie Ramirez
20251024000023642187,22.167.244.177,WITHDRAWAL,GB72SHGO05948955989524,NULL,-606.32,Jennifer Bell
20251024000028997382,179.132.221.216,WITHDRAWAL,GB59QGWG55381859976688,NULL,-682.24,Donald Alvarez
20251024000033566789,120.23.98.13,DEPOSIT,GB02BDBD48080529674984,NULL,353.57,Daniel Nelson
20251024000036316683,206.18.251.162,SCHEDULE,GB30GECV78018828942771,GB57HFTS92604022578131,721.04,Michael Adkins
20251024000040521548,166.221.206.151,BALANCE,GB42XRWZ54725256607622,NULL,0,Rachel Lynch
20251024000042968996,206.13.175.3,NOOP,NOOP,NOOP,0,NOOP
20251024000045170054,209.70.106.225,DEPOSIT,GB57KJIP54142723001771,NULL,666.66,Christopher Proctor
20251024000045847014,220.140.215.205,BALANCE,GB73XMGX94366084498424,NULL,0,Joan Cook
20251024000047455098,146.194.135.75,BALANCE,GB96LMDE07374711405942,NULL,0,James Park
20251024000052447269,107.184.35.209,TRANSFER,GB40NYTD94804209049405,GB42UEZH28959585237461,933.28,Rachel Sims
20251024000053598179,149.173.253.162,TRANSFER,GB47UKPS05052727167058,GB77QELW56457890814407,132.16,Jenny Walsh
20251024000057499647,71.162.238.215,WITHDRAWAL,GB27VBDT89388855223671,NULL,-618.1,Jonathan Fitzgerald
20251024000104874720,205.177.98.148,BALANCE,GB98ICOM45496573866180,NULL,0,Michael Walker
